state,group,status,count
NSW,Mammals,Critically Endangered,12
NSW,Mammals,Endangered,28
NSW,Mammals,Vulnerable,35
NSW,Birds,Critically Endangered,8
NSW,Birds,Endangered,22
NSW,Birds,Vulnerable,31
NSW,Reptiles,Critically Endangered,3
NSW,Reptiles,Endangered,9
NSW,Reptiles,Vulnerable,15
NSW,Amphibians,Critically Endangered,4
NSW,Amphibians,Endangered,11
NSW,Amphibians,Vulnerable,8
NSW,Fish,Critically Endangered,2
NSW,Fish,Endangered,7
NSW,Fish,Vulnerable,12
VIC,Mammals,Critically Endangered,8
VIC,Mammals,Endangered,19
VIC,Mammals,Vulnerable,24
VIC,Birds,Critically Endangered,5
VIC,Birds,Endangered,15
VIC,Birds,Vulnerable,23
VIC,Reptiles,Critically Endangered,2
VIC,Reptiles,Endangered,6
VIC,Reptiles,Vulnerable,11
VIC,Amphibians,Critically Endangered,3
VIC,Amphibians,Endangered,8
VIC,Amphibians,Vulnerable,6
VIC,Fish,Critically Endangered,1
VIC,Fish,Endangered,5
VIC,Fish,Vulnerable,9
QLD,Mammals,Critically Endangered,15
QLD,Mammals,Endangered,34
QLD,Mammals,Vulnerable,42
QLD,Birds,Critically Endangered,11
QLD,Birds,Endangered,27
QLD,Birds,Vulnerable,38
QLD,Reptiles,Critically Endangered,7
QLD,Reptiles,Endangered,14
QLD,Reptiles,Vulnerable,22
QLD,Amphibians,Critically Endangered,6
QLD,Amphibians,Endangered,13
QLD,Amphibians,Vulnerable,11
QLD,Fish,Critically Endangered,3
QLD,Fish,Endangered,9
QLD,Fish,Vulnerable,15
WA,Mammals,Critically Endangered,11
WA,Mammals,Endangered,25
WA,Mammals,Vulnerable,31
WA,Birds,Critically Endangered,7
WA,Birds,Endangered,18
WA,Birds,Vulnerable,27
WA,Reptiles,Critically Endangered,4
WA,Reptiles,Endangered,10
WA,Reptiles,Vulnerable,16
WA,Amphibians,Critically Endangered,2
WA,Amphibians,Endangered,6
WA,Amphibians,Vulnerable,5
WA,Fish,Critically Endangered,2
WA,Fish,Endangered,6
WA,Fish,Vulnerable,10
SA,Mammals,Critically Endangered,6
SA,Mammals,Endangered,14
SA,Mammals,Vulnerable,19
SA,Birds,Critically Endangered,4
SA,Birds,Endangered,11
SA,Birds,Vulnerable,17
SA,Reptiles,Critically Endangered,2
SA,Reptiles,Endangered,5
SA,Reptiles,Vulnerable,9
SA,Amphibians,Critically Endangered,1
SA,Amphibians,Endangered,4
SA,Amphibians,Vulnerable,3
SA,Fish,Critically Endangered,1
SA,Fish,Endangered,4
SA,Fish,Vulnerable,7
TAS,Mammals,Critically Endangered,5
TAS,Mammals,Endangered,11
TAS,Mammals,Vulnerable,15
TAS,Birds,Critically Endangered,3
TAS,Birds,Endangered,9
TAS,Birds,Vulnerable,14
TAS,Reptiles,Critically Endangered,1
TAS,Reptiles,Endangered,3
TAS,Reptiles,Vulnerable,6
TAS,Amphibians,Critically Endangered,2
TAS,Amphibians,Endangered,5
TAS,Amphibians,Vulnerable,4
TAS,Fish,Critically Endangered,1
TAS,Fish,Endangered,3
TAS,Fish,Vulnerable,6
NT,Mammals,Critically Endangered,9
NT,Mammals,Endangered,21
NT,Mammals,Vulnerable,28
NT,Birds,Critically Endangered,6
NT,Birds,Endangered,16
NT,Birds,Vulnerable,24
NT,Reptiles,Critically Endangered,3
NT,Reptiles,Endangered,8
NT,Reptiles,Vulnerable,13
NT,Amphibians,Critically Endangered,3
NT,Amphibians,Endangered,7
NT,Amphibians,Vulnerable,6
NT,Fish,Critically Endangered,2
NT,Fish,Endangered,5
NT,Fish,Vulnerable,8
ACT,Mammals,Critically Endangered,2
ACT,Mammals,Endangered,5
ACT,Mammals,Vulnerable,7
ACT,Birds,Critically Endangered,1
ACT,Birds,Endangered,4
ACT,Birds,Vulnerable,6
ACT,Reptiles,Critically Endangered,0
ACT,Reptiles,Endangered,1
ACT,Reptiles,Vulnerable,3
ACT,Amphibians,Critically Endangered,1
ACT,Amphibians,Endangered,2
ACT,Amphibians,Vulnerable,2
ACT,Fish,Critically Endangered,0
ACT,Fish,Endangered,1
ACT,Fish,Vulnerable,2
